alat,e_tot,encut,n_kpts,sigma
3.85,-3.62590052,240,8,0.05
3.855,-3.63154937,240,8,0.05
3.86,-3.63683666,240,8,0.05
3.865,-3.64217117,240,8,0.05
3.87,-3.64712185,240,8,0.05
3.875,-3.65212503,240,8,0.05
3.88,-3.65670915,240,8,0.05
3.885,-3.66129386,240,8,0.05
3.89,-3.66571745,240,8,0.05
3.895,-3.67004773,240,8,0.05
3.9,-3.6739687,240,8,0.05
3.905,-3.67792965,240,8,0.05
3.91,-3.68157613,240,8,0.05
3.915,-3.68508803,240,8,0.05
3.92,-3.68837189,240,8,0.05
3.925,-3.69165206,240,8,0.05
3.93,-3.69463559,240,8,0.05
3.935,-3.69774179,240,8,0.05
3.94,-3.70040492,240,8,0.05
3.945,-3.70302146,240,8,0.05
3.95,-3.70546607,240,8,0.05
3.955,-3.70784386,240,8,0.05
3.96,-3.70992143,240,8,0.05
3.965,-3.71211648,240,8,0.05
3.97,-3.71410036,240,8,0.05
3.975,-3.71593537,240,8,0.05
3.98,-3.71766903,240,8,0.05
3.985,-3.7192952,240,8,0.05
3.99,-3.72060741,240,8,0.05
3.995,-3.72184703,240,8,0.05
4,-3.72292187,240,8,0.05
4.005,-3.72413531,240,8,0.05
4.01,-3.72502432,240,8,0.05
4.015,-3.72589727,240,8,0.05
4.02,-3.72649832,240,8,0.05
4.025,-3.72709133,240,8,0.05
4.03,-3.72764688,240,8,0.05
4.035,-3.7279852,240,8,0.05
4.04,-3.72817566,240,8,0.05
4.045,-3.72839658,240,8,0.05
4.05,-3.72834699,240,8,0.05
4.055,-3.72832375,240,8,0.05
4.06,-3.72807959,240,8,0.05
4.065,-3.72768933,240,8,0.05
4.07,-3.7273734,240,8,0.05
4.075,-3.72670403,240,8,0.05
4.08,-3.72597601,240,8,0.05
4.085,-3.72530965,240,8,0.05
4.09,-3.72446045,240,8,0.05
4.095,-3.72345228,240,8,0.05
4.1,-3.72241856,240,8,0.05
4.105,-3.72124869,240,8,0.05
4.11,-3.71985762,240,8,0.05
4.115,-3.71836599,240,8,0.05
4.12,-3.71690991,240,8,0.05
4.125,-3.71532229,240,8,0.05
4.13,-3.71376643,240,8,0.05
4.135,-3.71191487,240,8,0.05
4.14,-3.71010535,240,8,0.05
4.145,-3.70805097,240,8,0.05
4.15,-3.70608715,240,8,0.05
4.155,-3.70385774,240,8,0.05
4.16,-3.70172065,240,8,0.05
4.165,-3.69942974,240,8,0.05
4.17,-3.69704603,240,8,0.05
