     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5   descriptor_6
         1   -0.73000E-01   -0.92913E-01    0.73061E+00    0.29927E-01   -0.12217E-01    0.59990E+00   -0.12154E+02    0.35067E-01
         2   -0.12240E+00   -0.10569E+00    0.77563E+00    0.23423E-01   -0.14898E-01    0.61200E+00   -0.98702E+01    0.33851E-01
         3   -0.68400E-01   -0.78498E-01    0.67283E+00    0.15923E-01   -0.84577E-02    0.62600E+00   -0.17192E+02    0.13237E-01
         4   -0.60000E-01   -0.68706E-01    0.63510E+00    0.27428E+00   -0.52726E-01    0.16734E+01   -0.68697E+01    0.52131E+00
         5   -0.95500E-01   -0.55063E-01    0.65810E+00    0.35410E+00   -0.61927E-01    0.17842E+01   -0.65833E+01    0.68752E+00
         6   -0.55200E-01   -0.76005E-01    0.61674E+00    0.23011E+00   -0.47073E-01    0.16099E+01   -0.72051E+01    0.42187E+00
         7   -0.76900E-01   -0.44513E-01    0.21313E+00    0.45129E-01   -0.43090E-02    0.23087E+01   -0.40809E+01    0.35732E+00
         8   -0.10770E+01   -0.10268E+01    0.22146E+01    0.19305E+02    0.89326E+03    0.17840E+00    0.14448E+01    0.12971E+00
         9   -0.36140E+00   -0.36139E+00    0.19632E+01    0.64193E+01    0.34435E+05    0.25000E+00    0.95793E+00    0.72763E-01
        10   -0.11450E+00   -0.15140E+00    0.98470E+00    0.66143E-01   -0.29293E-01    0.92020E+00   -0.18645E+02    0.25586E-01
        11   -0.19680E+00   -0.17266E+00    0.10501E+01    0.55536E-01   -0.47535E-01    0.90820E+00   -0.11308E+02    0.35516E-01
        12   -0.84900E-01   -0.89390E-01    0.92106E+00    0.38160E-01   -0.10216E-01    0.88840E+00   -0.51265E+02    0.54067E-02
        13   -0.51090E+00   -0.54260E+00    0.18305E+01    0.46570E-01    0.23135E-02    0.36806E+01    0.32728E+02    0.12247E-02
        14   -0.24870E+00   -0.27628E+00    0.95842E+00    0.19931E+00   -0.61911E-01    0.27845E+01    0.11454E+02    0.14795E+00
        15   -0.42970E+00   -0.39449E+00    0.10888E+01    0.29571E+00   -0.14847E-01    0.28866E+01    0.55129E+02    0.44460E-01
