     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.91963E-01    0.44864E+00    0.97052E+00
         2   -0.12240E+00   -0.10297E+00    0.49274E+00    0.97685E+00
         3   -0.68400E-01   -0.77076E-01    0.38888E+00    0.98420E+00
         4   -0.60000E-01   -0.54981E-01    0.30164E+00    0.76077E+00
         5   -0.95500E-01   -0.63848E-01    0.33753E+00    0.70308E+00
         6   -0.55200E-01   -0.48609E-01    0.27589E+00    0.79485E+00
         7   -0.76900E-01   -0.23298E+00    0.10135E+01    0.10462E+01
         8   -0.10770E+01   -0.10882E+01    0.22091E+01    0.37470E+03
         9   -0.36140E+00   -0.53222E+00    0.19613E+01    0.43184E+02
        10   -0.11450E+00   -0.19807E+00    0.87422E+00    0.93601E+00
        11   -0.19680E+00   -0.21426E+00    0.93907E+00    0.94598E+00
        12   -0.84900E-01   -0.18185E+00    0.80902E+00    0.96256E+00
        13   -0.51090E+00   -0.44090E+00    0.18470E+01    0.10477E+01
        14   -0.24870E+00   -0.19835E+00    0.87603E+00    0.81956E+00
        15   -0.42970E+00   -0.23171E+00    0.10102E+01    0.74480E+00
        16   -0.20360E+00   -0.19592E+00    0.86616E+00    0.83811E+00
        17   -0.50170E+00   -0.49473E+00    0.20626E+01    0.10836E+01
        18   -0.37490E+00   -0.41360E+00    0.17432E+01    0.10357E+00
        19   -0.74080E+00   -0.41524E+00    0.17503E+01    0.18817E-01
        20   -0.33500E+00   -0.33483E+00    0.14249E+01    0.52953E+00
        21   -0.45320E+00   -0.51164E+00    0.21320E+01    0.80766E+00
        22   -0.37710E+00   -0.40913E+00    0.17201E+01    0.96994E+00
        23   -0.29730E+00   -0.24783E+00    0.10742E+01    0.84745E+00
        24   -0.24740E+00   -0.27726E+00    0.11931E+01    0.69510E+00
        25   -0.15630E+00   -0.25220E+00    0.10919E+01    0.82074E+00
        26   -0.13960E+00   -0.13475E+00    0.62135E+00    0.77434E+00
        27   -0.24600E+00   -0.15059E+00    0.68532E+00    0.69092E+00
        28   -0.11410E+00   -0.13194E+00    0.60991E+00    0.79905E+00
        29   -0.22910E+00   -0.24406E+00    0.10589E+01    0.87847E+00
        30   -0.31450E+00   -0.28366E+00    0.12182E+01    0.79180E+00
        31   -0.17230E+00   -0.23622E+00    0.10275E+01    0.87687E+00
        32   -0.26870E+00   -0.27546E+00    0.11849E+01    0.85810E+00
        33   -0.57740E+00   -0.51824E+00    0.21574E+01    0.99088E+00
        34   -0.50810E+00   -0.52967E+00    0.22041E+01    0.84286E+00
        35   -0.39760E+00   -0.42446E+00    0.17815E+01    0.97793E+00
        36   -0.33830E+00   -0.33097E+00    0.14078E+01    0.79839E+00
        37   -0.43320E+00   -0.58132E+00    0.24111E+01    0.84910E+00
        38   -0.39430E+00   -0.45172E+00    0.18911E+01    0.92712E+00
        39   -0.68740E+00   -0.59020E+00    0.17560E+01    0.11643E+03
        40   -0.41800E+00   -0.40564E+00    0.14749E+01    0.39661E+02
        41   -0.46700E-01   -0.93519E-01    0.45477E+00    0.98834E+00
        42   -0.63130E+00   -0.48639E+00    0.20290E+01    0.11071E+01
