     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.10850E+00    0.40735E+00
         2   -0.12240E+00   -0.11828E+00    0.45132E+00
         3   -0.68400E-01   -0.95135E-01    0.34730E+00
         4   -0.60000E-01   -0.12105E+00    0.46376E+00
         5   -0.95500E-01   -0.12764E+00    0.49338E+00
         6   -0.55200E-01   -0.11612E+00    0.44160E+00
         7   -0.76900E-01   -0.93226E-01    0.33872E+00
         8   -0.36140E+00   -0.45580E+00    0.19681E+01
         9   -0.11450E+00   -0.19571E+00    0.79929E+00
        10   -0.19680E+00   -0.21006E+00    0.86374E+00
        11   -0.84900E-01   -0.18097E+00    0.73304E+00
        12   -0.51090E+00   -0.46730E+00    0.20198E+01
        13   -0.24870E+00   -0.18752E+00    0.76247E+00
        14   -0.42970E+00   -0.21857E+00    0.90199E+00
        15   -0.20360E+00   -0.18504E+00    0.75132E+00
        16   -0.50170E+00   -0.52761E+00    0.22908E+01
        17   -0.37490E+00   -0.40001E+00    0.17174E+01
        18   -0.74080E+00   -0.40689E+00    0.17483E+01
        19   -0.33500E+00   -0.33257E+00    0.14143E+01
        20   -0.45320E+00   -0.52923E+00    0.22981E+01
        21   -0.37710E+00   -0.44111E+00    0.19021E+01
        22   -0.29730E+00   -0.23743E+00    0.98674E+00
        23   -0.17380E+00   -0.23078E+00    0.95689E+00
        24   -0.24740E+00   -0.25497E+00    0.10656E+01
        25   -0.15630E+00   -0.22999E+00    0.95334E+00
        26   -0.13960E+00   -0.15804E+00    0.62999E+00
        27   -0.24600E+00   -0.17217E+00    0.69348E+00
        28   -0.11410E+00   -0.15552E+00    0.61868E+00
        29   -0.22910E+00   -0.21647E+00    0.89257E+00
        30   -0.17230E+00   -0.20951E+00    0.86127E+00
        31   -0.26870E+00   -0.25913E+00    0.10843E+01
        32   -0.57740E+00   -0.55411E+00    0.24099E+01
        33   -0.50810E+00   -0.55162E+00    0.23987E+01
        34   -0.39760E+00   -0.46094E+00    0.19912E+01
        35   -0.33830E+00   -0.32429E+00    0.13771E+01
        36   -0.64700E+00   -0.55398E+00    0.24093E+01
        37   -0.43320E+00   -0.61419E+00    0.26799E+01
        38   -0.39430E+00   -0.50117E+00    0.21720E+01
        39   -0.68740E+00   -0.41601E+00    0.17893E+01
        40   -0.41800E+00   -0.35037E+00    0.14943E+01
        41   -0.49870E+00   -0.55896E+00    0.24317E+01
        42   -0.46700E-01   -0.22866E-01    0.22528E-01
        43   -0.63130E+00   -0.55631E+00    0.24198E+01
