     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3
         1   -0.73000E-01   -0.79618E-01    0.44864E+00    0.29927E-01   -0.26811E-01
         2   -0.12240E+00   -0.92772E-01    0.49274E+00    0.23423E-01   -0.30991E-01
         3   -0.68400E-01   -0.61959E-01    0.38888E+00    0.15923E-01   -0.22316E-01
         4   -0.60000E-01   -0.42162E-01    0.30164E+00    0.27428E+00   -0.12885E-01
         5   -0.95500E-01   -0.53425E-01    0.33753E+00    0.35410E+00   -0.13600E-01
         6   -0.55200E-01   -0.34309E-01    0.27589E+00    0.23011E+00   -0.12161E-01
         7   -0.76900E-01   -0.19933E+00    0.10135E+01    0.45129E-01   -0.66776E-02
         8   -0.10770E+01   -0.10324E+01    0.22091E+01    0.19305E+02   -0.47189E-02
         9   -0.36140E+00   -0.60304E+00    0.19613E+01    0.64193E+01   -0.26466E-02
        10   -0.11450E+00   -0.17362E+00    0.87422E+00    0.66143E-01   -0.16062E-01
        11   -0.19680E+00   -0.19138E+00    0.93907E+00    0.55536E-01   -0.19988E-01
        12   -0.84900E-01   -0.15525E+00    0.80902E+00    0.38160E-01   -0.12961E-01
        13   -0.51090E+00   -0.39744E+00    0.18470E+01    0.46570E-01   -0.84708E-02
        14   -0.24870E+00   -0.26900E+00    0.87603E+00    0.19931E+00   -0.14621E+00
        15   -0.42970E+00   -0.37198E+00    0.10102E+01    0.29571E+00   -0.24409E+00
        16   -0.20360E+00   -0.26302E+00    0.86616E+00    0.17684E+00   -0.14193E+00
        17   -0.50170E+00   -0.44943E+00    0.20626E+01    0.80276E-01   -0.86460E-02
        18   -0.37490E+00   -0.44749E+00    0.17432E+01    0.27855E+01   -0.28172E-02
        19   -0.74080E+00   -0.57744E+00    0.17503E+01    0.71528E+01   -0.72185E-02
        20   -0.33500E+00   -0.31123E+00    0.14249E+01    0.64652E+00   -0.31388E-02
        21   -0.45320E+00   -0.47364E+00    0.21320E+01    0.21402E+00   -0.14337E-01
        22   -0.37710E+00   -0.36467E+00    0.17201E+01    0.30527E-01   -0.51276E-02
        23   -0.29730E+00   -0.21701E+00    0.10742E+01    0.16571E+00   -0.65215E-02
        24   -0.17380E+00   -0.22360E+00    0.10955E+01    0.19712E+00   -0.74597E-02
        25   -0.24740E+00   -0.25336E+00    0.11931E+01    0.36571E+00   -0.10155E-01
        26   -0.15630E+00   -0.22269E+00    0.10919E+01    0.19787E+00   -0.73501E-02
        27   -0.13960E+00   -0.11357E+00    0.62135E+00    0.25645E+00   -0.77789E-02
        28   -0.11410E+00   -0.10980E+00    0.60991E+00    0.22480E+00   -0.75558E-02
        29   -0.22910E+00   -0.21329E+00    0.10589E+01    0.12967E+00   -0.78443E-02
        30   -0.31450E+00   -0.25763E+00    0.12182E+01    0.23398E+00   -0.13169E-01
        31   -0.26870E+00   -0.24350E+00    0.11849E+01    0.15318E+00   -0.75272E-02
        32   -0.57740E+00   -0.49749E+00    0.21574E+01    0.91586E-02   -0.48223E-01
        33   -0.50810E+00   -0.48617E+00    0.22041E+01    0.17116E+00   -0.96792E-02
        34   -0.39760E+00   -0.37752E+00    0.17815E+01    0.22313E-01   -0.31117E-02
        35   -0.33830E+00   -0.29561E+00    0.14078E+01    0.22564E+00   -0.38219E-02
        36   -0.64700E+00   -0.69640E+00    0.20426E+01    0.64810E-01   -0.36873E+00
        37   -0.43320E+00   -0.53576E+00    0.24111E+01    0.16376E+00   -0.10998E-01
        38   -0.68740E+00   -0.68177E+00    0.17560E+01    0.10697E+02   -0.91856E-02
        39   -0.41800E+00   -0.48117E+00    0.14749E+01    0.61389E+01   -0.41051E-02
        40   -0.49870E+00   -0.48822E+00    0.21666E+01    0.28575E-01   -0.31082E-01
        41   -0.46700E-01   -0.64735E-01    0.45477E+00    0.11733E-01   -0.42331E-02
        42   -0.63130E+00   -0.58220E+00    0.20290E+01    0.10181E+00   -0.20870E+00
