material    property    DS           
Ag100       -0.0730     -3.7146       
Ag110       -0.1224     -3.7267      
Ag111       -0.0684     -3.7407      
Au100       -0.0600     -2.8662      
Au110       -0.0955     -2.7554      
Au111       -0.0552     -2.9297      
Cd0001      -0.0769     -7.8081      
Cr100       -1.0770     0.1084       
Cr110       -0.3614     0.0368       
Cu100       -0.1145     -2.2577      
Cu110       -0.1968     -2.2697      
Cu111       -0.0849     -2.2895      
Hf0001      -0.5109     2.1900       
Ir100       -0.2487     -2.1862       
Ir110       -0.4297     -2.0841      
Ir111       -0.2036     -2.2108      
Lu0001      -0.5017     3.2543       
Mn0001      -0.3749     -0.1863      
Mo100       -0.7408     -0.0269      
Mo110       -0.3350     -0.1427       
Nb100       -0.4532     1.2163       
Nb110       -0.3771     1.3329       
Os001       -0.2973     -1.6145      
Pd100       -0.1738     -1.3452      
Pd110       -0.2474     -1.2375      
Pd111       -0.1563     -1.3447      
Pt100       -0.1396     -2.0651      
Pt110       -0.2460     -1.9507      
Pt111       -0.1141     -2.0978      
Rh100       -0.2291     -1.6479      
Rh110       -0.3145     -1.5645      
Rh111       -0.1723     -1.6464      
Ru0001      -0.2687     -1.4034      
Sc0001      -0.5774     2.2877       
Ta100       -0.5081     1.6137       
Ta110       -0.3976     1.7382       
Tc0001      -0.3383     -0.4347      
Ti0001      -0.6470     1.6217       
V100        -0.4332     1.0771       
V110        -0.3943     1.1255       
W100        -0.6874     0.2827       
W110        -0.4180     0.1650       
Y0001       -0.4987     2.5574       
Zn0001      -0.0467     -6.6282      
Zr0001      -0.6313     1.8283       
