     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.27137E+00    0.12212E+00    0.19806E+02
         2   -0.12240E+00   -0.27137E+00    0.12212E+00    0.19806E+02
         3   -0.68400E-01   -0.27137E+00    0.12212E+00    0.19806E+02
         4   -0.60000E-01   -0.27137E+00    0.12212E+00    0.19806E+02
         5   -0.95500E-01   -0.27137E+00    0.12212E+00    0.19806E+02
         6   -0.55200E-01   -0.27137E+00    0.12212E+00    0.19806E+02
         7   -0.76900E-01   -0.30657E+00    0.12059E+00    0.27148E+02
         8   -0.10770E+01   -0.39596E+00    0.11771E+00    0.81429E+01
         9   -0.36140E+00   -0.39596E+00    0.11771E+00    0.81429E+01
        10   -0.11450E+00   -0.39596E+00    0.11771E+00    0.81429E+01
        11   -0.19680E+00   -0.39596E+00    0.11771E+00    0.81429E+01
        12   -0.84900E-01   -0.39596E+00    0.11771E+00    0.81429E+01
        13   -0.51090E+00   -0.42423E+00    0.11537E+00    0.55683E+02
        14   -0.24870E+00   -0.27684E+00    0.12212E+00    0.12035E+02
        15   -0.42970E+00   -0.27684E+00    0.12212E+00    0.12035E+02
        16   -0.20360E+00   -0.27684E+00    0.12212E+00    0.12035E+02
        17   -0.50170E+00   -0.59527E+00    0.10529E+00    0.19054E+03
        18   -0.37490E+00   -0.42315E+00    0.11669E+00    0.77554E+01
        19   -0.74080E+00   -0.26179E+00    0.12262E+00    0.14667E+02
        20   -0.33500E+00   -0.26179E+00    0.12262E+00    0.14667E+02
        21   -0.45320E+00   -0.28321E+00    0.12160E+00    0.22469E+02
        22   -0.37710E+00   -0.28321E+00    0.12160E+00    0.22469E+02
        23   -0.29730E+00   -0.28076E+00    0.12198E+00    0.11709E+02
        24   -0.24740E+00   -0.26792E+00    0.12243E+00    0.13084E+02
        25   -0.15630E+00   -0.26792E+00    0.12243E+00    0.13084E+02
        26   -0.13960E+00   -0.26288E+00    0.12259E+00    0.14250E+02
        27   -0.24600E+00   -0.26288E+00    0.12259E+00    0.14250E+02
        28   -0.11410E+00   -0.26288E+00    0.12259E+00    0.14250E+02
        29   -0.22910E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        30   -0.31450E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        31   -0.17230E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        32   -0.26870E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        33   -0.57740E+00   -0.46414E+00    0.11347E+00    0.70213E+02
        34   -0.50810E+00   -0.28321E+00    0.12160E+00    0.22469E+02
        35   -0.39760E+00   -0.28321E+00    0.12160E+00    0.22469E+02
        36   -0.33830E+00   -0.27343E+00    0.12224E+00    0.12372E+02
        37   -0.43320E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        38   -0.39430E+00   -0.29017E+00    0.12164E+00    0.11091E+02
        39   -0.68740E+00   -0.26179E+00    0.12262E+00    0.14667E+02
        40   -0.41800E+00   -0.26179E+00    0.12262E+00    0.14667E+02
        41   -0.46700E-01   -0.29017E+00    0.12164E+00    0.11091E+02
        42   -0.63130E+00   -0.43748E+00    0.11475E+00    0.60099E+02
