     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.31626E+00    0.34118E+00
         2   -0.12240E+00   -0.31626E+00    0.34118E+00
         3   -0.68400E-01   -0.31626E+00    0.34118E+00
         4   -0.60000E-01   -0.31626E+00    0.34118E+00
         5   -0.95500E-01   -0.31626E+00    0.34118E+00
         6   -0.55200E-01   -0.31626E+00    0.34118E+00
         7   -0.76900E-01   -0.34863E+00    0.33592E+00
         8   -0.36140E+00   -0.22573E+00    0.35589E+00
         9   -0.11450E+00   -0.22573E+00    0.35589E+00
        10   -0.19680E+00   -0.22573E+00    0.35589E+00
        11   -0.84900E-01   -0.22573E+00    0.35589E+00
        12   -0.51090E+00   -0.42051E+00    0.32424E+00
        13   -0.24870E+00   -0.26493E+00    0.34952E+00
        14   -0.42970E+00   -0.26493E+00    0.34952E+00
        15   -0.20360E+00   -0.26493E+00    0.34952E+00
        16   -0.50170E+00   -0.53479E+00    0.30567E+00
        17   -0.37490E+00   -0.22099E+00    0.35666E+00
        18   -0.74080E+00   -0.28530E+00    0.34621E+00
        19   -0.33500E+00   -0.28530E+00    0.34621E+00
        20   -0.45320E+00   -0.32930E+00    0.33906E+00
        21   -0.37710E+00   -0.32930E+00    0.33906E+00
        22   -0.29730E+00   -0.26216E+00    0.34997E+00
        23   -0.17380E+00   -0.27349E+00    0.34813E+00
        24   -0.24740E+00   -0.27349E+00    0.34813E+00
        25   -0.15630E+00   -0.27349E+00    0.34813E+00
        26   -0.13960E+00   -0.28229E+00    0.34670E+00
        27   -0.24600E+00   -0.28229E+00    0.34670E+00
        28   -0.11410E+00   -0.28229E+00    0.34670E+00
        29   -0.22910E+00   -0.25662E+00    0.35087E+00
        30   -0.17230E+00   -0.25662E+00    0.35087E+00
        31   -0.26870E+00   -0.25662E+00    0.35087E+00
        32   -0.57740E+00   -0.44291E+00    0.32060E+00
        33   -0.50810E+00   -0.32930E+00    0.33906E+00
        34   -0.39760E+00   -0.32930E+00    0.33906E+00
        35   -0.33830E+00   -0.26776E+00    0.34906E+00
        36   -0.64700E+00   -0.33589E+00    0.33799E+00
        37   -0.43320E+00   -0.25662E+00    0.35087E+00
        38   -0.39430E+00   -0.25662E+00    0.35087E+00
        39   -0.68740E+00   -0.28530E+00    0.34621E+00
        40   -0.41800E+00   -0.28530E+00    0.34621E+00
        41   -0.49870E+00   -0.58482E+00    0.29754E+00
        42   -0.46700E-01   -0.25662E+00    0.35087E+00
        43   -0.63130E+00   -0.42796E+00    0.32303E+00
