     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         2   -0.12240E+00   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         3   -0.68400E-01   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         4   -0.60000E-01   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         5   -0.95500E-01   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         6   -0.55200E-01   -0.26574E+00    0.34118E+00    0.19806E+02    0.12212E+00    0.86394E-01    0.26623E+02
         7   -0.76900E-01   -0.32608E+00    0.33592E+00    0.27148E+02    0.12059E+00    0.89812E-01    0.35979E+02
         8   -0.36140E+00   -0.23194E+00    0.35589E+00    0.81429E+01    0.11771E+00    0.68636E-01    0.92234E+01
         9   -0.11450E+00   -0.23194E+00    0.35589E+00    0.81429E+01    0.11771E+00    0.68636E-01    0.92234E+01
        10   -0.19680E+00   -0.23194E+00    0.35589E+00    0.81429E+01    0.11771E+00    0.68636E-01    0.92234E+01
        11   -0.84900E-01   -0.23194E+00    0.35589E+00    0.81429E+01    0.11771E+00    0.68636E-01    0.92234E+01
        12   -0.51090E+00   -0.55626E+00    0.32424E+00    0.55683E+02    0.11537E+00    0.94567E-01    0.64949E+02
        13   -0.24870E+00   -0.28451E+00    0.34952E+00    0.12035E+02    0.12212E+00    0.78365E-01    0.15398E+02
        14   -0.42970E+00   -0.28451E+00    0.34952E+00    0.12035E+02    0.12212E+00    0.78365E-01    0.15398E+02
        15   -0.20360E+00   -0.28451E+00    0.34952E+00    0.12035E+02    0.12212E+00    0.78365E-01    0.15398E+02
        16   -0.50170E+00   -0.49291E+00    0.30567E+00    0.19054E+03    0.10529E+00    0.97211E-01    0.14469E+03
        17   -0.37490E+00   -0.19601E+00    0.35666E+00    0.77554E+01    0.11669E+00    0.67124E-01    0.85948E+01
        18   -0.74080E+00   -0.26912E+00    0.34621E+00    0.14667E+02    0.12262E+00    0.82021E-01    0.19370E+02
        19   -0.33500E+00   -0.26912E+00    0.34621E+00    0.14667E+02    0.12262E+00    0.82021E-01    0.19370E+02
        20   -0.45320E+00   -0.28983E+00    0.33906E+00    0.22469E+02    0.12160E+00    0.87887E-01    0.30142E+02
        21   -0.37710E+00   -0.28983E+00    0.33906E+00    0.22469E+02    0.12160E+00    0.87887E-01    0.30142E+02
        22   -0.29730E+00   -0.29242E+00    0.34997E+00    0.11709E+02    0.12198E+00    0.77799E-01    0.14894E+02
        23   -0.17380E+00   -0.27177E+00    0.34813E+00    0.13084E+02    0.12243E+00    0.79996E-01    0.17001E+02
        24   -0.24740E+00   -0.27177E+00    0.34813E+00    0.13084E+02    0.12243E+00    0.79996E-01    0.17001E+02
        25   -0.15630E+00   -0.27177E+00    0.34813E+00    0.13084E+02    0.12243E+00    0.79996E-01    0.17001E+02
        26   -0.13960E+00   -0.26360E+00    0.34670E+00    0.14250E+02    0.12259E+00    0.81530E-01    0.18752E+02
        27   -0.24600E+00   -0.26360E+00    0.34670E+00    0.14250E+02    0.12259E+00    0.81530E-01    0.18752E+02
        28   -0.11410E+00   -0.26360E+00    0.34670E+00    0.14250E+02    0.12259E+00    0.81530E-01    0.18752E+02
        29   -0.22910E+00   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        30   -0.17230E+00   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        31   -0.26870E+00   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        32   -0.57740E+00   -0.59538E+00    0.32060E+00    0.70213E+02    0.11347E+00    0.95472E-01    0.76848E+02
        33   -0.50810E+00   -0.28983E+00    0.33906E+00    0.22469E+02    0.12160E+00    0.87887E-01    0.30142E+02
        34   -0.39760E+00   -0.28983E+00    0.33906E+00    0.22469E+02    0.12160E+00    0.87887E-01    0.30142E+02
        35   -0.33830E+00   -0.28075E+00    0.34906E+00    0.12372E+02    0.12224E+00    0.78919E-01    0.15917E+02
        36   -0.64700E+00   -0.29726E+00    0.33799E+00    0.23963E+02    0.12128E+00    0.88582E-01    0.32052E+02
        37   -0.43320E+00   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        38   -0.39430E+00   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        39   -0.68740E+00   -0.26912E+00    0.34621E+00    0.14667E+02    0.12262E+00    0.82021E-01    0.19370E+02
        40   -0.41800E+00   -0.26912E+00    0.34621E+00    0.14667E+02    0.12262E+00    0.82021E-01    0.19370E+02
        41   -0.49870E+00   -0.50196E+00    0.29754E+00    0.34104E+03    0.10079E+00    0.97160E-01    0.19836E+03
        42   -0.46700E-01   -0.29578E+00    0.35087E+00    0.11091E+02    0.12164E+00    0.76634E-01    0.13930E+02
        43   -0.63130E+00   -0.57588E+00    0.32303E+00    0.60099E+02    0.11475E+00    0.94892E-01    0.68719E+02
