material    property    R            E            H            L            I            DB           F            DS           C            CN            ECN 
Ag100       -0.0730     1.4400       1.9300       -4.5659      -3.8403      7.5762       -3.7706      -4.8100      -3.7146      -3.9397      8.0000        6.6700   
Ag110       -0.1224     1.4400       1.9300       -4.5659      -3.8403      7.5762       -3.7706      -4.8100      -3.7267      -3.7948      7.0000        5.8300 
Ag111       -0.0684     1.4400       1.9300       -4.5659      -3.8403      7.5762       -3.7706      -4.8100      -3.7407      -4.1232      9.0000        7.5000 
Au100       -0.0600     1.4400       2.4000       -5.9456      -5.2426      9.2240       -3.2861      -4.4493      -2.8662      -4.7041      8.0000        6.6700 
Au110       -0.0955     1.4400       2.4000       -5.9456      -5.2426      9.2240       -3.2861      -4.4493      -2.7554      -4.6501      7.0000        5.8300 
Au111       -0.0552     1.4400       2.4000       -5.9456      -5.2426      9.2240       -3.2861      -4.4493      -2.9297      -4.7619      9.0000        7.5000 
Cd0001      -0.0769     1.4890       1.6900       -5.4994      -0.7368      8.9960       -7.6339      -3.7278      -7.8081      -3.4482      9.0000        7.5000 
Cr100       -1.0770     1.2800       1.6600       -3.5634      -1.6383      6.7678       -0.0056      -10.3360     0.1084       -4.7012      4.0000        4.0000 
Cr110       -0.3614     1.2800       1.6600       -3.5634      -1.6383      6.7678       -0.0056      -10.3360     0.0368       -5.2795      6.0000        5.0000 
Cu100       -0.1145     1.2800       1.9000       -4.7251      -3.9515      7.7213       -2.3336      -5.6039      -2.2577      -4.3880      8.0000        6.6700 
Cu111       -0.0849     1.2800       1.9000       -4.7251      -3.9515      7.7213       -2.3336      -5.6039      -2.2895      -4.6025      9.0000        7.5000 
Hf0001      -0.5109     1.5900       1.3000       -4.3792      -2.9349      7.0476       2.1396       -6.6921      2.1900       -4.4035      9.0000        7.5000 
Ir100       -0.2487     1.3550       2.2000       -5.0181      -4.9944      9.1204       -2.4149      -6.7874      -2.1862      -5.6650      8.0000        6.6700 
Ir110       -0.4297     1.3550       2.2000       -5.0181      -4.9944      9.1204       -2.4149      -6.7874      -2.0841      -5.1525      7.0000        5.8300 
Ir111       -0.2036     1.3550       2.2000       -5.0181      -4.9944      9.1204       -2.4149      -6.7874      -2.2108      -5.6947      9.0000        7.5000 
Lu0001      -0.5017     1.7380       1.2700       -4.1173      -1.6757      5.4308       3.1263       -5.7887      3.2543       -3.8580      9.0000        7.5000 
Mn0001      -0.3749     1.2700       1.5500       -4.3042      -3.4853      7.4311       -0.5789      -10.6903     -0.1863      -6.0718      9.0000        7.5000 
Mo100       -0.7408     1.3900       2.1600       -4.5378      -1.7437      7.0994       -0.1961      -6.8477      -0.0269      -3.9036      4.0000        4.0000 
Mo110       -0.3350     1.3900       2.1600       -4.5378      -1.7437      7.0994       -0.1961      -6.8477      -0.1427      -4.7364      6.0000        5.0000 
Nb100       -0.4532     1.4600       1.6000       -3.6430      -1.9019      6.8818       1.3534       -7.2486      1.2163       -3.6904      4.0000        4.0000 
Nb110       -0.3771     1.4600       1.6000       -3.6430      -1.9019      6.8818       1.3534       -7.2486      1.3329       -4.7186      6.0000        5.0000 
Os001       -0.2973     1.3500       2.2000       -5.2144      -4.6506      8.7058       -1.7538      -7.2670      -1.6145      -5.6057      9.0000        7.5000 
Pd100       -0.1738     1.3700       2.2000       -3.9768      -3.2381      8.3431       -1.4843      -6.7362      -1.3452      -5.2011      8.0000        6.6700 
Pd110       -0.2474     1.3700       2.2000       -3.9768      -3.2381      8.3431       -1.4843      -6.7362      -1.2375      -4.8927      7.0000        5.8300 
Pd111       -0.1563     1.3700       2.2000       -3.9768      -3.2381      8.3431       -1.4843      -6.7362      -1.3447      -5.2159      9.0000        7.5000 
Pt100       -0.1396     1.3850       2.2000       -5.5279      -4.9378      9.0168       -2.3468      -5.4030      -2.0651      -5.3838      8.0000        6.6700 
Pt110       -0.2460     1.3850       2.2000       -5.5279      -4.9378      9.0168       -2.3468      -5.4030      -1.9507      -5.1636      7.0000        5.8300 
Pt111       -0.1141     1.3850       2.2000       -5.5279      -4.9378      9.0168       -2.3468      -5.4030      -2.0978      -5.4129      9.0000        7.5000 
Rh100       -0.2291     1.3400       2.2800       -3.9932      -3.2357      7.4622       -1.7582      -6.6903      -1.6479      -5.1257      8.0000        6.6700 
Rh110       -0.3145     1.3400       2.2800       -3.9932      -3.2357      7.4622       -1.7582      -6.6903      -1.5645      -4.6076      7.0000        5.8300 
Rh111       -0.1723     1.3400       2.2800       -3.9932      -3.2357      7.4622       -1.7582      -6.6903      -1.6464      -5.2532      9.0000        7.5000 
Ru0001      -0.2687     1.3400       2.2000       -4.6195      -3.7016      7.3689       -1.5150      -6.9059      -1.4034      -4.9749      9.0000        7.5000 
Ta100       -0.5081     1.4600       1.5000       -4.1118      -2.3395      7.8871       1.7577       -8.1563      1.6137       -4.0655      4.0000        4.0000 
Ta110       -0.3976     1.4600       1.5000       -4.1118      -2.3395      7.8871       1.7577       -8.1563      1.7382       -5.2003      6.0000        5.0000 
Tc0001      -0.3383     1.3600       1.9000       -4.8318      -3.0741      7.2756       -0.4865      -7.3395      -0.4347      -5.0030      9.0000        7.5000 
Ti0001      -0.6470     1.4700       1.5400       -2.8715      -2.8395      6.8196       1.5700       -8.1892      1.6217       -4.4397      9.0000        7.5000 
V100        -0.4332     1.3400       1.6300       -2.8683      -1.7318      6.7367       1.1689       -10.0981     1.0771       -4.3821      4.0000        4.0000 
V110        -0.3943     1.3400       1.6300       -2.8683      -1.7318      6.7367       1.1689       -10.0981     1.1255       -5.6742      6.0000        5.0000 
W100        -0.6874     1.3900       1.7000       -4.0064      -2.6786      7.9804       0.0262       -7.5736      0.2827       -4.4066      4.0000        4.0000 
W110        -0.4180     1.3900       1.7000       -4.0064      -2.6786      7.9804       0.0262       -7.5736      0.1650       -5.2120      6.0000        5.0000 
Y0001       -0.4987     1.8000       1.2200       -3.6020      -2.4603      6.3843       2.5942       -5.7481      2.5574       -3.3386      9.0000        7.5000 
Zn0001      -0.0467     1.3400       1.6500       -5.8522      -0.6498      9.3899       -6.6672      -4.2357      -6.6282      -3.8157      9.0000        7.5000 
Zr0001      -0.6313     1.6000       1.3300       -2.8313      -2.7471      6.8403       1.7376       -7.1695      1.8283       -4.0414      9.0000        7.5000 
