     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4
         1   -0.73000E-01   -0.59111E-01    0.17216E+01    0.29927E-01   -0.26811E-01    0.45383E-01
         2   -0.12240E+00   -0.69702E-01    0.18544E+01    0.23423E-01   -0.30991E-01    0.55522E-01
         3   -0.68400E-01   -0.43294E-01    0.15120E+01    0.15923E-01   -0.22316E-01    0.31638E-01
         4   -0.60000E-01   -0.11849E+00    0.28246E+01    0.27428E+00   -0.12885E-01    0.15112E+00
         5   -0.95500E-01   -0.13080E+00    0.29894E+01    0.35410E+00   -0.13600E-01    0.17063E+00
         6   -0.55200E-01   -0.10971E+00    0.27033E+01    0.23011E+00   -0.12161E-01    0.13791E+00
         7   -0.76900E-01   -0.93430E-01    0.25883E+01    0.45129E-01   -0.66776E-02    0.33645E-01
         8   -0.10770E+01   -0.10263E+01    0.93066E+01    0.19305E+02   -0.47189E-02   -0.96829E+02
         9   -0.36140E+00   -0.36956E+00    0.86567E+01    0.64193E+01   -0.26466E-02   -0.12672E+04
        10   -0.11450E+00   -0.16365E+00    0.36833E+01    0.66143E-01   -0.16062E-01    0.66134E-01
        11   -0.19680E+00   -0.17814E+00    0.38900E+01    0.55536E-01   -0.19988E-01    0.10789E+00
        12   -0.84900E-01   -0.14640E+00    0.34370E+01    0.38160E-01   -0.12961E-01    0.23389E-01
        13   -0.51090E+00   -0.45196E+00    0.88578E+01    0.46570E-01   -0.84708E-02   -0.50666E-02
        14   -0.24870E+00   -0.28318E+00    0.39543E+01    0.19931E+00   -0.14621E+00   -0.13535E+00
        15   -0.42970E+00   -0.39641E+00    0.45689E+01    0.29571E+00   -0.24409E+00   -0.30943E-01
        16   -0.20360E+00   -0.27612E+00    0.39000E+01    0.17684E+00   -0.14193E+00   -0.13843E+00
        17   -0.50170E+00   -0.47841E+00    0.93023E+01    0.80276E-01   -0.86460E-02    0.24484E-01
        18   -0.37490E+00   -0.51166E+00    0.87364E+01    0.27855E+01   -0.28172E-02   -0.50928E+02
        19   -0.74080E+00   -0.75856E+00    0.74550E+01    0.71528E+01   -0.72185E-02    0.87644E+03
        20   -0.33500E+00   -0.32975E+00    0.65064E+01    0.64652E+00   -0.31388E-02   -0.97528E+01
        21   -0.45320E+00   -0.43635E+00    0.84175E+01    0.21402E+00   -0.14337E-01   -0.32040E-01
        22   -0.37710E+00   -0.37178E+00    0.75059E+01    0.30527E-01   -0.51276E-02   -0.60542E+00
        23   -0.29730E+00   -0.24910E+00    0.52612E+01    0.16571E+00   -0.65215E-02   -0.15012E+00
        24   -0.17380E+00   -0.18830E+00    0.41667E+01    0.19712E+00   -0.74597E-02   -0.67657E+00
        25   -0.24740E+00   -0.21909E+00    0.45828E+01    0.36571E+00   -0.10155E-01   -0.59808E+00
        26   -0.15630E+00   -0.18742E+00    0.41524E+01    0.19787E+00   -0.73501E-02   -0.68526E+00
        27   -0.13960E+00   -0.15145E+00    0.34820E+01    0.25645E+00   -0.77789E-02    0.33790E-01
        28   -0.24600E+00   -0.17542E+00    0.38166E+01    0.37184E+00   -0.96951E-02    0.95737E-01
        29   -0.11410E+00   -0.14682E+00    0.34202E+01    0.22480E+00   -0.75558E-02    0.26132E-01
        30   -0.22910E+00   -0.17202E+00    0.39099E+01    0.12967E+00   -0.78443E-02   -0.41704E+00
        31   -0.31450E+00   -0.21351E+00    0.45114E+01    0.23398E+00   -0.13169E-01   -0.25102E+00
        32   -0.17230E+00   -0.16417E+00    0.37839E+01    0.13149E+00   -0.69053E-02   -0.46484E+00
        33   -0.26870E+00   -0.24299E+00    0.51471E+01    0.15318E+00   -0.75272E-02   -0.18045E+00
        34   -0.57740E+00   -0.49137E+00    0.90320E+01    0.91586E-02   -0.48223E-01    0.33820E-01
        35   -0.50810E+00   -0.51118E+00    0.98163E+01    0.17116E+00   -0.96792E-02    0.17780E-01
        36   -0.39760E+00   -0.44409E+00    0.88060E+01    0.22313E-01   -0.31117E-02   -0.36027E+00
        37   -0.33830E+00   -0.33251E+00    0.67336E+01    0.22564E+00   -0.38219E-02   -0.90599E+00
        38   -0.64700E+00   -0.69464E+00    0.82427E+01    0.64810E-01   -0.36873E+00   -0.59629E+00
        39   -0.43320E+00   -0.50289E+00    0.96614E+01    0.16376E+00   -0.10998E-01   -0.13048E+01
        40   -0.39430E+00   -0.42311E+00    0.84177E+01    0.75690E-01   -0.30210E-02   -0.22150E+01
        41   -0.68740E+00   -0.68755E+00    0.74561E+01    0.10697E+02   -0.91856E-02   -0.50076E+01
        42   -0.41800E+00   -0.48795E+00    0.65330E+01    0.61389E+01   -0.41051E-02   -0.44283E+02
        43   -0.49870E+00   -0.45238E+00    0.85689E+01    0.28575E-01   -0.31082E-01    0.40273E-01
        44   -0.46700E-01   -0.11255E-01    0.11960E+01    0.11733E-01   -0.42331E-02    0.46355E-01
        45   -0.63130E+00   -0.54669E+00    0.77877E+01    0.10181E+00   -0.20870E+00   -0.36201E+00
