     Index  y_measurement      y_fitting   descriptor_1   descriptor_2   descriptor_3   descriptor_4   descriptor_5
         1   -0.73000E-01   -0.64684E-01    0.17216E+01    0.29927E-01   -0.26811E-01    0.45383E-01    0.11567E+02
         2   -0.12240E+00   -0.70264E-01    0.18544E+01    0.23423E-01   -0.30991E-01    0.55522E-01    0.14244E+02
         3   -0.68400E-01   -0.55224E-01    0.15120E+01    0.15923E-01   -0.22316E-01    0.31638E-01    0.81775E+01
         4   -0.60000E-01   -0.89405E-01    0.28246E+01    0.27428E+00   -0.12885E-01    0.15112E+00    0.28959E+02
         5   -0.95500E-01   -0.99381E-01    0.29894E+01    0.35410E+00   -0.13600E-01    0.17063E+00    0.30219E+02
         6   -0.55200E-01   -0.83175E-01    0.27033E+01    0.23011E+00   -0.12161E-01    0.13791E+00    0.27611E+02
         7   -0.76900E-01   -0.11009E+00    0.25883E+01    0.45129E-01   -0.66776E-02    0.33645E-01    0.56339E+01
         8   -0.10770E+01   -0.10318E+01    0.93066E+01    0.19305E+02   -0.47189E-02   -0.96829E+02    0.19267E+02
         9   -0.36140E+00   -0.37361E+00    0.86567E+01    0.64193E+01   -0.26466E-02   -0.12672E+04    0.29060E+02
        10   -0.11450E+00   -0.17781E+00    0.36833E+01    0.66143E-01   -0.16062E-01    0.66134E-01    0.74647E+01
        11   -0.19680E+00   -0.18300E+00    0.38900E+01    0.55536E-01   -0.19988E-01    0.10789E+00    0.12308E+02
        12   -0.84900E-01   -0.16967E+00    0.34370E+01    0.38160E-01   -0.12961E-01    0.23389E-01    0.27148E+01
        13   -0.51090E+00   -0.48227E+00    0.88578E+01    0.46570E-01   -0.84708E-02   -0.50666E-02    0.47727E+00
        14   -0.24870E+00   -0.27634E+00    0.39543E+01    0.19931E+00   -0.14621E+00   -0.13535E+00    0.21929E+02
        15   -0.42970E+00   -0.43013E+00    0.45689E+01    0.29571E+00   -0.24409E+00   -0.30943E-01    0.45560E+01
        16   -0.20360E+00   -0.26700E+00    0.39000E+01    0.17684E+00   -0.14193E+00   -0.13843E+00    0.22936E+02
        17   -0.50170E+00   -0.50494E+00    0.93023E+01    0.80276E-01   -0.86460E-02    0.24484E-01    0.25152E+01
        18   -0.37490E+00   -0.41425E+00    0.87364E+01    0.27855E+01   -0.28172E-02   -0.50928E+02    0.65859E+02
        19   -0.74080E+00   -0.75876E+00    0.74550E+01    0.71528E+01   -0.72185E-02    0.87644E+03    0.75726E+01
        20   -0.33500E+00   -0.35528E+00    0.65064E+01    0.64652E+00   -0.31388E-02   -0.97528E+01    0.23714E+01
        21   -0.45320E+00   -0.46651E+00    0.84175E+01    0.21402E+00   -0.14337E-01   -0.32040E-01    0.65346E+00
        22   -0.37710E+00   -0.37268E+00    0.75059E+01    0.30527E-01   -0.51276E-02   -0.60542E+00    0.14828E+02
        23   -0.29730E+00   -0.25214E+00    0.52612E+01    0.16571E+00   -0.65215E-02   -0.15012E+00    0.13224E+02
        24   -0.17380E+00   -0.16407E+00    0.41667E+01    0.19712E+00   -0.74597E-02   -0.67657E+00    0.26705E+02
        25   -0.24740E+00   -0.20869E+00    0.45828E+01    0.36571E+00   -0.10155E-01   -0.59808E+00    0.19978E+02
        26   -0.15630E+00   -0.16253E+00    0.41524E+01    0.19787E+00   -0.73501E-02   -0.68526E+00    0.27028E+02
        27   -0.13960E+00   -0.17232E+00    0.34820E+01    0.25645E+00   -0.77789E-02    0.33790E-01    0.38444E+01
        28   -0.24600E+00   -0.18496E+00    0.38166E+01    0.37184E+00   -0.96951E-02    0.95737E-01    0.97191E+01
        29   -0.11410E+00   -0.16916E+00    0.34202E+01    0.22480E+00   -0.75558E-02    0.26132E-01    0.30681E+01
        30   -0.22910E+00   -0.15198E+00    0.39099E+01    0.12967E+00   -0.78443E-02   -0.41704E+00    0.24516E+02
        31   -0.31450E+00   -0.21643E+00    0.45114E+01    0.23398E+00   -0.13169E-01   -0.25102E+00    0.13300E+02
        32   -0.17230E+00   -0.13852E+00    0.37839E+01    0.13149E+00   -0.69053E-02   -0.46484E+00    0.27276E+02
        33   -0.26870E+00   -0.25426E+00    0.51471E+01    0.15318E+00   -0.75272E-02   -0.18045E+00    0.90850E+01
        34   -0.57740E+00   -0.51748E+00    0.90320E+01    0.91586E-02   -0.48223E-01    0.33820E-01    0.37867E+01
        35   -0.50810E+00   -0.54133E+00    0.98163E+01    0.17116E+00   -0.96792E-02    0.17780E-01    0.88348E+00
        36   -0.39760E+00   -0.43373E+00    0.88060E+01    0.22313E-01   -0.31117E-02   -0.36027E+00    0.20770E+02
        37   -0.33830E+00   -0.35483E+00    0.67336E+01    0.22564E+00   -0.38219E-02   -0.90599E+00    0.38627E+01
        38   -0.64700E+00   -0.67400E+00    0.82427E+01    0.64810E-01   -0.36873E+00   -0.59629E+00    0.36466E+02
        39   -0.43320E+00   -0.48220E+00    0.96614E+01    0.16376E+00   -0.10998E-01   -0.13048E+01    0.26473E+02
        40   -0.39430E+00   -0.35638E+00    0.84177E+01    0.75690E-01   -0.30210E-02   -0.22150E+01    0.49069E+02
        41   -0.68740E+00   -0.70785E+00    0.74561E+01    0.10697E+02   -0.91856E-02   -0.50076E+01    0.81187E+01
        42   -0.41800E+00   -0.47339E+00    0.65330E+01    0.61389E+01   -0.41051E-02   -0.44283E+02    0.24458E+02
        43   -0.49870E+00   -0.47738E+00    0.85689E+01    0.28575E-01   -0.31082E-01    0.40273E-01    0.37250E+01
        44   -0.46700E-01   -0.27080E-01    0.11960E+01    0.11733E-01   -0.42331E-02    0.46355E-01    0.56052E+01
        45   -0.63130E+00   -0.54166E+00    0.77877E+01    0.10181E+00   -0.20870E+00   -0.36201E+00    0.23833E+02
