     Index  y_measurement      y_fitting   descriptor_1
         1   -0.73000E-01   -0.13159E+00   -0.37146E+01
         2   -0.12240E+00   -0.13075E+00   -0.37267E+01
         3   -0.68400E-01   -0.12978E+00   -0.37407E+01
         4   -0.60000E-01   -0.19055E+00   -0.28662E+01
         5   -0.95500E-01   -0.19825E+00   -0.27554E+01
         6   -0.55200E-01   -0.18614E+00   -0.29297E+01
         7   -0.76900E-01    0.15290E+00   -0.78081E+01
         8   -0.10770E+01   -0.39728E+00    0.10840E+00
         9   -0.36140E+00   -0.39230E+00    0.36800E-01
        10   -0.11450E+00   -0.23284E+00   -0.22577E+01
        11   -0.19680E+00   -0.23201E+00   -0.22697E+01
        12   -0.84900E-01   -0.23063E+00   -0.22895E+01
        13   -0.51090E+00   -0.54194E+00    0.21900E+01
        14   -0.24870E+00   -0.23781E+00   -0.21862E+01
        15   -0.42970E+00   -0.24491E+00   -0.20841E+01
        16   -0.20360E+00   -0.23610E+00   -0.22108E+01
        17   -0.50170E+00   -0.61591E+00    0.32543E+01
        18   -0.37490E+00   -0.37680E+00   -0.18630E+00
        19   -0.74080E+00   -0.38787E+00   -0.26900E-01
        20   -0.33500E+00   -0.37983E+00   -0.14270E+00
        21   -0.45320E+00   -0.47427E+00    0.12163E+01
        22   -0.37710E+00   -0.48238E+00    0.13329E+01
        23   -0.29730E+00   -0.27754E+00   -0.16145E+01
        24   -0.17380E+00   -0.29626E+00   -0.13452E+01
        25   -0.24740E+00   -0.30374E+00   -0.12375E+01
        26   -0.15630E+00   -0.29629E+00   -0.13447E+01
        27   -0.13960E+00   -0.24623E+00   -0.20651E+01
        28   -0.24600E+00   -0.25418E+00   -0.19507E+01
        29   -0.11410E+00   -0.24395E+00   -0.20978E+01
        30   -0.22910E+00   -0.27522E+00   -0.16479E+01
        31   -0.31450E+00   -0.28102E+00   -0.15645E+01
        32   -0.17230E+00   -0.27532E+00   -0.16464E+01
        33   -0.26870E+00   -0.29221E+00   -0.14034E+01
        34   -0.57740E+00   -0.54873E+00    0.22877E+01
        35   -0.50810E+00   -0.50189E+00    0.16137E+01
        36   -0.39760E+00   -0.51054E+00    0.17382E+01
        37   -0.33830E+00   -0.35953E+00   -0.43470E+00
        38   -0.64700E+00   -0.50245E+00    0.16217E+01
        39   -0.43320E+00   -0.46460E+00    0.10771E+01
        40   -0.39430E+00   -0.46796E+00    0.11255E+01
        41   -0.68740E+00   -0.40939E+00    0.28270E+00
        42   -0.41800E+00   -0.40121E+00    0.16500E+00
        43   -0.49870E+00   -0.56748E+00    0.25574E+01
        44   -0.46700E-01    0.70896E-01   -0.66282E+01
        45   -0.63130E+00   -0.51681E+00    0.18283E+01
