     Index  y_measurement      y_fitting   descriptor_1   descriptor_2
         1   -0.73000E-01   -0.10023E+00   -0.37146E+01    0.26245E+01
         2   -0.12240E+00   -0.99342E-01   -0.37267E+01    0.26310E+01
         3   -0.68400E-01   -0.98313E-01   -0.37407E+01    0.26385E+01
         4   -0.60000E-01   -0.16453E+00   -0.28662E+01    0.21060E+01
         5   -0.95500E-01   -0.17327E+00   -0.27554E+01    0.20271E+01
         6   -0.55200E-01   -0.15957E+00   -0.29297E+01    0.21498E+01
         7   -0.76900E-01    0.17925E+00   -0.78081E+01    0.41103E+01
         8   -0.10770E+01   -0.53331E+00    0.10840E+00   -0.44439E+01
         9   -0.36140E+00   -0.59465E+00    0.36800E-01   -0.66045E+01
        10   -0.11450E+00   -0.21385E+00   -0.22577E+01    0.16287E+01
        11   -0.19680E+00   -0.21284E+00   -0.22697E+01    0.16393E+01
        12   -0.84900E-01   -0.21118E+00   -0.22895E+01    0.16567E+01
        13   -0.51090E+00   -0.47046E+00    0.21900E+01    0.15678E+01
        14   -0.24870E+00   -0.21989E+00   -0.21862E+01    0.15643E+01
        15   -0.42970E+00   -0.22864E+00   -0.20841E+01    0.14687E+01
        16   -0.20360E+00   -0.21781E+00   -0.22108E+01    0.15867E+01
        17   -0.50170E+00   -0.50743E+00    0.32543E+01    0.23600E+01
        18   -0.37490E+00   -0.48363E+00   -0.18630E+00   -0.33608E+01
        19   -0.74080E+00   -0.60999E+00   -0.26900E-01   -0.72313E+01
        20   -0.33500E+00   -0.50227E+00   -0.14270E+00   -0.38940E+01
        21   -0.45320E+00   -0.45031E+00    0.12163E+01    0.39163E+00
        22   -0.37710E+00   -0.45145E+00    0.13329E+01    0.57471E+00
        23   -0.29730E+00   -0.27100E+00   -0.16145E+01    0.95805E+00
        24   -0.17380E+00   -0.29748E+00   -0.13452E+01    0.59309E+00
        25   -0.24740E+00   -0.30871E+00   -0.12375E+01    0.42619E+00
        26   -0.15630E+00   -0.29754E+00   -0.13447E+01    0.59234E+00
        27   -0.13960E+00   -0.23028E+00   -0.20651E+01    0.14504E+01
        28   -0.24600E+00   -0.24029E+00   -0.19507E+01    0.13364E+01
        29   -0.11410E+00   -0.22746E+00   -0.20978E+01    0.14818E+01
        30   -0.22910E+00   -0.26785E+00   -0.16479E+01    0.99900E+00
        31   -0.31450E+00   -0.27577E+00   -0.15645E+01    0.89513E+00
        32   -0.17230E+00   -0.26799E+00   -0.16464E+01    0.99718E+00
        33   -0.26870E+00   -0.29158E+00   -0.14034E+01    0.67780E+00
        34   -0.57740E+00   -0.47342E+00    0.22877E+01    0.16551E+01
        35   -0.50810E+00   -0.45595E+00    0.16137E+01    0.95706E+00
        36   -0.39760E+00   -0.45858E+00    0.17382E+01    0.11057E+01
        37   -0.33830E+00   -0.41807E+00   -0.43470E+00   -0.16662E+01
        38   -0.64700E+00   -0.45611E+00    0.16217E+01    0.96695E+00
        39   -0.43320E+00   -0.44970E+00    0.10771E+01    0.14854E+00
        40   -0.39430E+00   -0.44981E+00    0.11255E+01    0.23645E+00
        41   -0.68740E+00   -0.48523E+00    0.28270E+00   -0.25267E+01
        42   -0.41800E+00   -0.51110E+00    0.16500E+00   -0.36036E+01
        43   -0.49870E+00   -0.48211E+00    0.25574E+01    0.18780E+01
        44   -0.46700E-01    0.10175E+00   -0.66282E+01    0.37827E+01
        45   -0.63130E+00   -0.46068E+00    0.18283E+01    0.12068E+01
