=========================================
SLURM_JOB_ID = 18034
SLURM_JOB_NODELIST = node20-100
SLURM_CPUS_ON_NODE = 1
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 287037
==========================================
RMS: 5.52969 (valid: 6.31868), noise: 30
RMS: 1.80106 (valid: 2.0265), noise: 30
RMS: 0.567906 (valid: 0.829708), noise: 30
RMS: 0.503349 (valid: 0.59245), noise: 30
RMS: 0.616257 (valid: 0.616245), noise: 30
RMS: 0.603856 (valid: 1.12463), noise: 27
RMS: 0.397478 (valid: 0.468219), noise: 27
RMS: 0.343924 (valid: 0.46094), noise: 27
RMS: 1.13418 (valid: 1.61459), noise: 27
RMS: 1.8714 (valid: 1.95164), noise: 24.3
RMS: 0.801217 (valid: 1.13205), noise: 24.3
RMS: 0.500869 (valid: 0.848198), noise: 24.3
RMS: 8.62611 (valid: 11.6411), noise: 24.3
RMS: 0.414905 (valid: 0.554039), noise: 21.87
RMS: 0.917272 (valid: 1.54074), noise: 21.87
RMS: 0.377401 (valid: 0.467421), noise: 19.683
RMS: 0.402083 (valid: 0.576854), noise: 19.683
RMS: 1.78801 (valid: 2.06819), noise: 17.7147
RMS: 0.894325 (valid: 1.54859), noise: 17.7147
RMS: 0.53666 (valid: 0.734907), noise: 17.7147
RMS: 0.930971 (valid: 1.10087), noise: 17.7147
RMS: 0.376361 (valid: 0.466741), noise: 15.9432
RMS: 1.68322 (valid: 4.32328), noise: 15.9432
RMS: 0.862907 (valid: 0.974656), noise: 14.3489
RMS: 0.850538 (valid: 0.938775), noise: 14.3489
RMS: 0.68584 (valid: 0.874535), noise: 14.3489
RMS: 2.86692 (valid: 4.5574), noise: 14.3489
RMS: 0.529686 (valid: 0.826916), noise: 12.914
RMS: 0.438603 (valid: 0.641008), noise: 12.914
RMS: 0.459111 (valid: 0.539332), noise: 12.914
RMS: 0.605652 (valid: 0.927248), noise: 11.6226
RMS: 0.581244 (valid: 0.721176), noise: 11.6226
